country;four_regions;eight_regions;six_regions
Guyana;americas;america_south;america
Haiti;americas;america_north;america
Holy See;europe;europe_west;europe_central_asia
Honduras;americas;america_north;america
Hong Kong;asia;east_asia_pacific;east_asia_pacific
Hungary;europe;europe_east;europe_central_asia
Iceland;europe;europe_west;europe_central_asia
India;asia;asia_west;south_asia
Indonesia;asia;east_asia_pacific;east_asia_pacific
Iran;asia;asia_west;middle_east_north_africa
Iraq;asia;asia_west;middle_east_north_africa
Ireland;europe;europe_west;europe_central_asia
Israel;asia;asia_west;middle_east_north_africa
Italy;europe;europe_west;europe_central_asia
Jamaica;americas;america_north;america
Japan;asia;east_asia_pacific;east_asia_pacific
Jordan;asia;asia_west;middle_east_north_africa
Kazakhstan;asia;asia_west;europe_central_asia
Kenya;africa;africa_sub_saharan;sub_saharan_africa
Kiribati;asia;east_asia_pacific;east_asia_pacific
North Korea;asia;east_asia_pacific;east_asia_pacific
South Korea;asia;east_asia_pacific;east_asia_pacific
Kuwait;asia;asia_west;middle_east_north_africa
Kyrgyz Republic;asia;asia_west;europe_central_asia
Lao;asia;east_asia_pacific;east_asia_pacific
Latvia;europe;europe_east;europe_central_asia
Lebanon;asia;asia_west;middle_east_north_africa
Lesotho;africa;africa_sub_saharan;sub_saharan_africa
Liberia;africa;africa_sub_saharan;sub_saharan_africa
Libya;africa;africa_north;middle_east_north_africa
Liechtenstein;europe;europe_west;europe_central_asia
Lithuania;europe;europe_east;europe_central_asia
Luxembourg;europe;europe_west;europe_central_asia
Macedonia;europe;europe_east;europe_central_asia
Madagascar;africa;africa_sub_saharan;sub_saharan_africa
Malawi;africa;africa_sub_saharan;sub_saharan_africa
Malaysia;asia;east_asia_pacific;east_asia_pacific
Maldives;asia;asia_west;south_asia
Mali;africa;africa_sub_saharan;sub_saharan_africa
Malta;europe;europe_west;europe_central_asia
Marshall Islands;asia;east_asia_pacific;east_asia_pacific
Mauritania;africa;africa_sub_saharan;sub_saharan_africa
Mauritius;africa;africa_sub_saharan;sub_saharan_africa
Mexico;americas;america_north;america
Micronesia;asia;east_asia_pacific;east_asia_pacific
Moldova;europe;europe_east;europe_central_asia
Monaco;europe;europe_west;europe_central_asia
Mongolia;asia;east_asia_pacific;east_asia_pacific
Montenegro;europe;europe_east;europe_central_asia
Morocco;africa;africa_north;middle_east_north_africa
Mozambique;africa;africa_sub_saharan;sub_saharan_africa
Myanmar;asia;east_asia_pacific;east_asia_pacific
Namibia;africa;africa_sub_saharan;sub_saharan_africa
Nauru;asia;east_asia_pacific;east_asia_pacific
Nepal;asia;asia_west;south_asia
Netherlands;europe;europe_west;europe_central_asia
New Zealand;asia;east_asia_pacific;east_asia_pacific
Nicaragua;americas;america_north;america
Niger;africa;africa_sub_saharan;sub_saharan_africa
Nigeria;africa;africa_sub_saharan;sub_saharan_africa
Norway;europe;europe_west;europe_central_asia
Oman;asia;asia_west;middle_east_north_africa
Pakistan;asia;asia_west;south_asia
Palau;asia;east_asia_pacific;east_asia_pacific
Panama;americas;america_north;america
Papua New Guinea;asia;east_asia_pacific;east_asia_pacific
Paraguay;americas;america_south;america
Peru;americas;america_south;america
Philippines;asia;east_asia_pacific;east_asia_pacific
Poland;europe;europe_west;europe_central_asia
Portugal;europe;europe_west;europe_central_asia
Qatar;asia;asia_west;middle_east_north_africa
Romania;europe;europe_east;europe_central_asia
Russia;europe;europe_east;europe_central_asia
Rwanda;africa;africa_sub_saharan;sub_saharan_africa
St. Kitts and Nevis;americas;america_north;america
St. Lucia;americas;america_north;america
St. Vincent and the Grenadines;americas;america_north;america
Samoa;asia;east_asia_pacific;east_asia_pacific
San Marino;europe;europe_west;europe_central_asia
Sao Tome and Principe;africa;africa_sub_saharan;sub_saharan_africa
Saudi Arabia;asia;asia_west;middle_east_north_africa
Senegal;africa;africa_sub_saharan;sub_saharan_africa
Serbia;europe;europe_east;europe_central_asia
Seychelles;africa;africa_sub_saharan;sub_saharan_africa
Sierra Leone;africa;africa_sub_saharan;sub_saharan_africa
Singapore;asia;east_asia_pacific;east_asia_pacific
Slovak Republic;europe;europe_east;europe_central_asia
Slovenia;europe;europe_east;europe_central_asia
Solomon Islands;asia;east_asia_pacific;east_asia_pacific
Somalia;africa;africa_sub_saharan;sub_saharan_africa
South Africa;africa;africa_sub_saharan;sub_saharan_africa
Spain;europe;europe_west;europe_central_asia
Sri Lanka;asia;asia_west;south_asia
Sudan;africa;africa_sub_saharan;sub_saharan_africa
Suriname;americas;america_south;america
Swaziland;africa;africa_sub_saharan;sub_saharan_africa
Sweden;europe;europe_west;europe_central_asia
Switzerland;europe;europe_west;europe_central_asia
Syria;asia;asia_west;middle_east_north_africa
Taiwan;asia;east_asia_pacific;east_asia_pacific
Tajikistan;asia;asia_west;europe_central_asia
Tanzania;africa;africa_sub_saharan;sub_saharan_africa
Thailand;asia;east_asia_pacific;east_asia_pacific
Timor-Leste;asia;east_asia_pacific;east_asia_pacific
Togo;africa;africa_sub_saharan;sub_saharan_africa
Tonga;asia;east_asia_pacific;east_asia_pacific
Trinidad and Tobago;americas;america_north;america
Tunisia;africa;africa_north;middle_east_north_africa
Turkey;europe;europe_east;europe_central_asia
Turkmenistan;asia;asia_west;europe_central_asia
Tuvalu;asia;east_asia_pacific;east_asia_pacific
Uganda;africa;africa_sub_saharan;sub_saharan_africa
Ukraine;europe;europe_east;europe_central_asia
United Arab Emirates;asia;asia_west;middle_east_north_africa
United Kingdom;europe;europe_west;europe_central_asia
United States;americas;america_north;america
Uruguay;americas;america_south;america
Uzbekistan;asia;asia_west;europe_central_asia
Vanuatu;asia;east_asia_pacific;east_asia_pacific
Venezuela;americas;america_south;america
Palestine;asia;asia_west;middle_east_north_africa
Vietnam;asia;east_asia_pacific;east_asia_pacific
Yemen;asia;asia_west;middle_east_north_africa
Zambia;africa;africa_sub_saharan;sub_saharan_africa
Zimbabwe;africa;africa_sub_saharan;sub_saharan_africa
South Sudan;africa;africa_sub_saharan;sub_saharan_africa
